סמסטר	מס' קורס	שם הקורס	נ.ז	חובה	מחשבים	עיבוד אותות ותקשורת 	התקנים ומערכות	קדם א	קדם ב	קדם ג	אופציה א	אופציה ב	צמוד א
1	11002	אלגברה מ	5.0	חובה	חובה	חובה	חובה						
1	11004	חדוא 1מ	5.0	חובה	חובה	חובה	חובה						
1	11231	פיזיקה 1מ	4.5	חובה	חובה	חובה	חובה	11193					
1	11063	אנגלית בסיסי	0.0	חובה	חובה	חובה	חובה						
1	11064	אנגלית מתקדמים א	0.0	חובה	חובה	חובה	חובה						
1	21230	מבוא למחשבים	2.5	חובה	חובה	חובה	חובה						
1	41090	כימיה א	2.5	חובה	חובה	חובה	חובה						
1	1	מיומניות למידה	1.0	חובה	חובה	חובה	חובה						
2	11006	חדוא 2מ	5.0	חובה	חובה	חובה	חובה	11004					11002
2	11064	אנגלית מתקדמים א	0.0	חובה	חובה	חובה	חובה	11063					
2	11121	משוואות דיפרנציאליות רגילות	2.5	חובה	חובה	חובה	חובה	11004	11002				
2	11232	פיסיקה 2מ	4.5	חובה	חובה	חובה	חובה	11231					
2	31315	מבוא להנדסת חשמל	4.0	חובה	חובה	חובה	חובה	11004	11002				
2	31510	מיתוג ומערכות ספרתיות	2.5	חובה	חובה	חובה	חובה						
2	51301	יסודות השיווק	2.0	חובה	חובה	חובה	חובה						
3	11057	אנגלית מתקדמים ב	2.0	חובה	חובה	חובה	חובה	11064					
3	11122	משוואות דיפרנציאליות וטורי פורייה	4.0	חובה	חובה	חובה	חובה	11006	11121				
3	11123	פונקציות מרוכבות	4.0	חובה	חובה	חובה	חובה	11006	11121				
3	11233	פיזיקה 3מ	4.0	חובה	חובה	חובה	חובה	11232					
3	31350	מוליכים למחצה	3.5	חובה	חובה	חובה	חובה	31315	41090				11232
3	31616	מבוא למגדי המחשב ושפת C	4.0	חובה	חובה	חובה	חובה						
4	31150	תרמודינמיקה	2.5	חובה	חובה	חובה	חובה	11232					
4	31401	תורת האלקטרוניקה התקבילית	5.0	חובה	חובה	חובה	חובה	31350					31402
4	31402	מעבדת חשמל ואלקטרוניקה 1	2.0	חובה	חובה	חובה	חובה	31350					31401
4	31420	אותות ומערכות	2.5	חובה	חובה	חובה	חובה	11122					
4	31430	רשתות ומערכות בדידות	2.5	חובה	חובה	חובה	חובה	11122					
4	31700	שדות ותמסורת גלים	3.5	חובה	חובה	חובה	חובה	11232	31315				
4	51722	הסתברות ויסודות הסטטיסטיקה	2.5	חובה	חובה	חובה	חובה	11006					
5	31403	מעבדת חשמל ואלקטרוניקה 2	2.0	חובה	חובה	חובה	חובה	31401	31402				31520
5	31440	מבוא לעיבוד אותות ספרתי	2.5	חובה	חובה	חובה	חובה	11057	31430	31420			
5	31451	אותות אקראים ורעש מ	4.0	חובה	חובה	חובה	חובה	11122			51722	51900	
5	31520	אלקרוניקה ספרתית	3.5	חובה	חובה	חובה	חובה	31315	31401				31403
5	31710	מבוא לתקשורת	2.5	חובה	חובה	חובה	חובה	31315					31420
5	31910	מבוא לבקרה	3.5	חובה	חובה	חובה	חובה	31315	11122				
5	31952	המרת אנרגיה א	2.5	חובה	חובה	חובה	חובה	31315					
6	31017	פרויקט תחרותי	3.0	חובה	חובה	חובה	חובה	31230	31520				
